 Starting from E1=1/e, the recursive relation En=1-n*En-1 leads to an unstable result:
  
           n  E_n
           1  0.36787944117144233     
           2  0.26424111765711533     
           3  0.20727664702865400     
           4  0.17089341188538398     
           5  0.14553294057308008     
           6  0.12680235656151950     
           7  0.11238350406936348     
           8  0.10093196744509214     
           9   9.1612292994170730E-002
          10   8.3877070058292702E-002
          11   7.7352229358780278E-002
          12   7.1773247694636666E-002
          13   6.6947779969723342E-002
          14   6.2731080423873209E-002
          15   5.9033793641901866E-002
          16   5.5459301729570143E-002
          17   5.7191870597307570E-002
          18  -2.9453670751536265E-002
          19   1.5596197442791890     
          20  -30.192394885583781     
  
 -------------------------------
  
 The inverse recursion, En-1=(1-En)/n, starting from n=10 with E10=0 is stable and permits to find E1:
  
           n  E_n
           9  0.11111111111111110     
           8  0.11111111111111110     
           7  0.12698412698412698     
           6  0.14550264550264549     
           5  0.17089947089947091     
           4  0.20727513227513228     
           3  0.26424162257495593     
           2  0.36787918871252201     
           1  0.63212081128747799     
  
 -------------------------------
  
 Maximum number of digits of e:
  
 nApproximation of e
           1   2.0000000000000000     
           2   2.5000000000000000     
           3   2.8333333333333335     
           4   3.0833333333333335     
           5   3.2833333333333337     
           6   3.4500000000000002     
           7   3.5928571428571430     
           8   3.7178571428571430     
           9   3.8289682539682541     
          10   3.9289682539682542     
          11   4.0198773448773455     
          12   4.1032106782106785     
          13   4.1801337551337552     
          14   4.2515623265623264     
          15   4.3182289932289928     
          16   4.3807289932289928     
          17   4.4395525226407573     
          18   4.4951080781963126     
          19   4.5477396571436808     
          20   4.5977396571436806     
